Entity,Code,Year,Annual COâ‚‚ emissions (tonnes )
Afghanistan,AFG,2010,8452224.14
Africa,,2010,1193783772
Albania,ALB,2010,4594656
Algeria,DZA,2010,117814076.6
Americas (other),,2010,2253918886
Andorra,AND,2010,516624
Angola,AGO,2010,28864472.37
Anguilla,AIA,2010,150224
Antigua and Barbuda,ATG,2010,523952
Argentina,ARG,2010,186686451.5
Armenia,ARM,2010,4260176
Aruba,ABW,2010,2506176
Asia and Pacific (other),,2010,4536618116
Australia,AUS,2010,406752772.7
Austria,AUT,2010,72383144.13
Azerbaijan,AZE,2010,30632888
Bahamas,BHS,2010,1652464
Bahrain,BHR,2010,29074829.99
Bangladesh,BGD,2010,58281848.69
Barbados,BRB,2010,1452631.84
Belarus,BLR,2010,63862389.67
Belgium,BEL,2010,113582031.4
Belize,BLZ,2010,538608
Benin,BEN,2010,4938944.44
Bermuda,BMU,2010,608224
Bhutan,BTN,2010,464157.57
Bolivia,BOL,2010,14941383.54
Bonaire Sint Eustatius and Saba,BES,2010,202737.5
Bosnia and Herzegovina,BIH,2010,21145640.45
Botswana,BWA,2010,4653585.98
Brazil,BRA,2010,411240192
British Virgin Islands,VGB,2010,172208
Brunei,BRN,2010,8060800
Bulgaria,BGR,2010,47792803.35
Burkina Faso,BFA,2010,1893940.54
Burundi,BDI,2010,212512
Cambodia,KHM,2010,4916927.86
Cameroon,CMR,2010,6662026.91
Canada,CAN,2010,555459693.7
Cape Verde,CPV,2010,556928
Cayman Islands,CYM,2010,556928
Central African Republic,CAF,2010,263808
Chad,TCD,2010,516624
Chile,CHL,2010,71329785.86
China,CHN,2010,8500542695
Colombia,COL,2010,75300420
Comoros,COM,2010,161216
Republic of the Congo,COG,2010,1969443.82
Cook Islands,COK,2010,69616
Costa Rica,CRI,2010,7428009.93
Cote d'Ivoire,CIV,2010,6063920
Croatia,HRV,2010,21245083.26
Cuba,CUB,2010,38172174.33
Curacao,CUW,2010,3902100.56
Cyprus,CYP,2010,8017876.96
Czech Republic,CZE,2010,117495552.1
Democratic Republic of Republic of the Congo,COD,2010,1963338.2
Denmark,DNK,2010,49292274.56
Djibouti,DJI,2010,516624
Dominica,DMA,2010,139232
Dominican Republic,DOM,2010,20574429.09
EU-28,,2010,3951262617
Ecuador,ECU,2010,35884097.21
Egypt,EGY,2010,198807663.8
El Salvador,SLV,2010,6317045.02
Equatorial Guinea,GNQ,2010,4675264
Eritrea,ERI,2010,507987.54
Estonia,EST,2010,19014857.92
Ethiopia,ETH,2010,6395734.24
Europe (other),,2010,2198211590
Faeroe Islands,FRO,2010,630208
Falkland Islands,FLK,2010,54960
Fiji,FJI,2010,1201245.43
Finland,FIN,2010,63991753.14
France,FRA,2010,397900468.6
French Guiana,GUF,2010,637536
French Polynesia,PYF,2010,857376
Gabon,GAB,2010,4782305.7
Gambia,GMB,2010,432352
Georgia,GEO,2010,6209072.14
Germany,DEU,2010,833684918
Ghana,GHA,2010,9710739.42
Gibraltar,GIB,2010,465328
Greece,GRC,2010,97342975.8
Greenland,GRL,2010,663184
Grenada,GRD,2010,260144
Guadeloupe,GLP,2010,2297328
Guatemala,GTM,2010,11361478.79
Guinea,GIN,2010,2574920.21
Guinea-Bissau,GNB,2010,238160
Guyana,GUY,2010,1718416
Haiti,HTI,2010,2093430.75
Honduras,HND,2010,7800705.96
Hong Kong,HKG,2010,40474095.28
Hungary,HUN,2010,52120536.86
Iceland,ISL,2010,3620931.2
India,IND,2010,1700027394
Indonesia,IDN,2010,427789520
International transport,,2010,1100956240
Iran,IRN,2010,564034508.7
Iraq,IRQ,2010,110985346.7
Ireland,IRL,2010,41679517.5
Israel,ISR,2010,68286901.35
Italy,ITA,2010,424873161.2
Jamaica,JAM,2010,7259598.88
Japan,JPN,2010,1211572868
Jordan,JOR,2010,20614344.74
Kazakhstan,KAZ,2010,236962075.2
Kenya,KEN,2010,11745964.63
Kiribati,KIR,2010,62288
Kuwait,KWT,2010,89272224.68
Kyrgyzstan,KGZ,2010,6312857.93
Laos,LAO,2010,1498023.85
Latvia,LVA,2010,8646955.88
Lebanon,LBN,2010,20015172.16
Lesotho,LSO,2010,2275344
Liberia,LBR,2010,783136.57
Libya,LBY,2010,61121644.38
Liechtenstein,LIE,2010,190805.68
Lithuania,LTU,2010,13712631.72
Luxembourg,LUX,2010,11154289.32
Macao,MAC,2010,1406976
Macedonia,MKD,2010,8595744
Madagascar,MDG,2010,1938343.65
Malawi,MWI,2010,1121620.67
Malaysia,MYS,2010,215992304
Maldives,MDV,2010,934320
Mali,MLI,2010,963632
Malta,MLT,2010,2590217.31
Marshall Islands,MHL,2010,102592
Martinique,MTQ,2010,2007872
Mauritania,MRT,2010,1960240
Mauritius,MUS,2010,3913152
Mexico,MEX,2010,466090651.8
Micronesia (country),FSM,2010,113584
Middle East,,2010,2102264120
Moldova,MDA,2010,4830905.3
Mongolia,MNG,2010,13819950
Montenegro,MNE,2010,2579456
Montserrat,MSR,2010,65952
Morocco,MAR,2010,56199984
Mozambique,MOZ,2010,2633894.8
Myanmar,MMR,2010,12442629.28
Namibia,NAM,2010,3096080
Nauru,NRU,2010,43968
Nepal,NPL,2010,4894005.28
Netherlands,NLD,2010,182179635.6
New Caledonia,NCL,2010,3520557.43
New Zealand,NZL,2010,35010698.68
Nicaragua,NIC,2010,4468989.51
Niger,NER,2010,1169165.03
Nigeria,NGA,2010,90315357.11
Niue,NIU,2010,3664
North Korea,PRK,2010,65687223.7
Norway,NOR,2010,45823277.24
Oman,OMN,2010,46750085.53
Pakistan,PAK,2010,157764740.5
Palau,PLW,2010,252816
Palestine,PSE,2010,2033520
Panama,PAN,2010,8999435.59
Papua New Guinea,PNG,2010,4736381.57
Paraguay,PRY,2010,5026004.75
Peru,PER,2010,56677887.51
Philippines,PHL,2010,82932929.78
Poland,POL,2010,332130710.9
Portugal,PRT,2010,52881799.72
Qatar,QAT,2010,71919911.52
Reunion,REU,2010,4165968
Romania,ROU,2010,83551258.13
Russia,RUS,2010,1657560679
Rwanda,RWA,2010,579130.34
Saint Helena,SHN,2010,10992
Saint Kitts and Nevis,KNA,2010,219840
Saint Lucia,LCA,2010,403040
Saint Pierre and Miquelon,SPM,2010,69616
Saint Vincent and the Grenadines,VCT,2010,219840
Samoa,WSM,2010,186864
Sao Tome and Principe,STP,2010,98928
Saudi Arabia,SAU,2010,517715947.4
Senegal,SEN,2010,7280072.95
Serbia,SRB,2010,45696360
Seychelles,SYC,2010,443344
Sierra Leone,SLE,2010,575248
Singapore,SGP,2010,55597536
Sint Maarten (Dutch part),SXM,2010,453177.94
Slovakia,SVK,2010,38626518.73
Slovenia,SVN,2010,16352627.37
Solomon Islands,SLB,2010,197856
Somalia,SOM,2010,611888
South Africa,ZAF,2010,472482580
South Korea,KOR,2010,565960924.7
South Sudan,SSD,2010,1327284
Spain,ESP,2010,283877489.7
Sri Lanka,LKA,2010,13050301.14
Statistical differences,,2010,-172010026.3
Sudan,SDN,2010,15927408
Suriname,SUR,2010,2395354.87
Swaziland,SWZ,2010,1036912
Sweden,SWE,2010,52927274.75
Switzerland,CHE,2010,45045102.6
Syria,SYR,2010,60716402.04
Taiwan,TWN,2010,267875420.1
Tajikistan,TJK,2010,2517762.83
Tanzania,TZA,2010,6840606.6
Thailand,THA,2010,279428513.3
Timor,TLS,2010,234496
Togo,TGO,2010,2599362
Tonga,TON,2010,117248
Trinidad and Tobago,TTO,2010,47812333.89
Tunisia,TUN,2010,27102531.27
Turkey,TUR,2010,319528399.8
Turkmenistan,TKM,2010,57108890.86
Turks and Caicos Islands,TCA,2010,190528
Tuvalu,TUV,2010,7328
Uganda,UGA,2010,3765155.98
Ukraine,UKR,2010,293518810.8
United Arab Emirates,ARE,2010,158164662.1
United Kingdom,GBR,2010,512214253.3
United States,USA,2010,5701075808
Uruguay,URY,2010,6296711.38
Uzbekistan,UZB,2010,103581488
Vanuatu,VUT,2010,120912
Venezuela,VEN,2010,188179332.3
Vietnam,VNM,2010,136113090.3
Wallis and Futuna Islands,,2010,29312
World,OWID_WRL,2010,33066651212
Yemen,YEM,2010,23151863.57
Zambia,ZMB,2010,2562578.27
Zimbabwe,ZWE,2010,7681010.98
